epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8379,1.79988,3.12854,1.33451,0.6877,0.23304,0.35242,0.17265,1.74618,2.87395,1.3086,0.000551185,0.000551185,0.000551185
2,82.0794,1.77843,2.18559,1.3398,0.35345,0.46736,0.29881,0.13956,1.83143,2.24175,1.41618,0.00108494,0.00108494,0.00108494
3,121.236,1.84591,1.91385,1.39291,0.55972,0.4397,0.45908,0.21353,1.89517,1.6413,1.41171,0.00159668,0.00159668,0.00159668
4,160.026,1.80446,1.71456,1.3418,0.51713,0.47266,0.4545,0.23281,1.80663,1.68652,1.32186,0.00156798,0.00156798,0.00156798
5,197.025,1.80557,1.58024,1.36676,0.65404,0.55541,0.54218,0.26765,1.76028,1.67015,1.33829,0.00153497,0.00153497,0.00153497
6,235.698,1.74645,1.46006,1.34237,0.57404,0.5659,0.54976,0.26539,1.77774,1.55851,1.3634,0.00150197,0.00150197,0.00150197
7,274.212,1.75729,1.44803,1.33239,0.6078,0.51398,0.52773,0.26547,1.80498,1.61574,1.38501,0.00146896,0.00146896,0.00146896
8,312.096,1.70169,1.37712,1.3069,0.57801,0.55212,0.52432,0.25598,1.81313,1.57194,1.35297,0.00143595,0.00143595,0.00143595
9,353.609,1.72795,1.38048,1.30354,0.64909,0.52733,0.55317,0.28614,1.7176,1.5602,1.30999,0.00140295,0.00140295,0.00140295
10,391.669,1.69759,1.34226,1.31693,0.59699,0.51376,0.52357,0.2479,1.84841,1.54163,1.37186,0.00136994,0.00136994,0.00136994
11,428.699,1.68883,1.30814,1.30043,0.65093,0.61422,0.6091,0.3091,1.67421,1.47188,1.27249,0.00133693,0.00133693,0.00133693
12,467.734,1.69006,1.26999,1.29999,0.71118,0.58854,0.62707,0.31585,1.68452,1.36346,1.25766,0.00130393,0.00130393,0.00130393
13,505.073,1.65469,1.25021,1.26503,0.63755,0.5705,0.59671,0.30507,1.77237,1.36139,1.35317,0.00127092,0.00127092,0.00127092
14,542.83,1.61827,1.19172,1.26144,0.68079,0.54424,0.5973,0.31826,1.69376,1.41287,1.26734,0.00123791,0.00123791,0.00123791
15,579.874,1.62635,1.1934,1.25383,0.70895,0.58246,0.59421,0.2878,1.80153,1.66042,1.33675,0.00120491,0.00120491,0.00120491
16,616.949,1.65522,1.22817,1.27206,0.62331,0.59212,0.58297,0.3101,1.74352,1.34945,1.27729,0.0011719,0.0011719,0.0011719
17,655.002,1.62489,1.15818,1.25132,0.64587,0.56669,0.60256,0.31344,1.6734,1.35868,1.25725,0.00113889,0.00113889,0.00113889
18,693.378,1.58661,1.10646,1.24272,0.57607,0.57012,0.57408,0.29368,1.72888,1.55974,1.3033,0.00110589,0.00110589,0.00110589
19,731.462,1.58025,1.12139,1.24133,0.75642,0.57337,0.64162,0.3389,1.72333,1.26009,1.29282,0.00107288,0.00107288,0.00107288
20,768.353,1.5886,1.07798,1.22321,0.68401,0.60713,0.62885,0.33809,1.65919,1.30869,1.26618,0.00103987,0.00103987,0.00103987
21,806.295,1.58606,1.08906,1.22986,0.73327,0.59557,0.61735,0.33206,1.67525,1.34325,1.28512,0.00100687,0.00100687,0.00100687
22,843.992,1.5376,1.04767,1.2074,0.7644,0.60086,0.65277,0.34407,1.60815,1.24079,1.22248,0.000973861,0.000973861,0.000973861
23,882.448,1.5163,1.01353,1.19071,0.71577,0.62982,0.65878,0.37196,1.59487,1.215,1.2378,0.000940855,0.000940855,0.000940855
24,920.797,1.51781,0.98585,1.19659,0.73377,0.64502,0.66786,0.35606,1.65897,1.32061,1.22012,0.000907848,0.000907848,0.000907848
25,957.896,1.53938,1.01357,1.20605,0.81006,0.64187,0.70752,0.38437,1.5538,1.14081,1.22029,0.000874842,0.000874842,0.000874842
26,996.65,1.50311,0.98332,1.1852,0.8014,0.61134,0.66946,0.36684,1.62782,1.25836,1.22412,0.000841835,0.000841835,0.000841835
27,1035.55,1.53591,0.99227,1.2128,0.78401,0.59326,0.65827,0.33548,1.68509,1.2892,1.25673,0.000808828,0.000808828,0.000808828
28,1073.91,1.50567,0.97561,1.19108,0.74489,0.60819,0.63726,0.33874,1.66537,1.30003,1.26536,0.000775822,0.000775822,0.000775822
29,1112.59,1.4968,0.95017,1.18179,0.73416,0.62384,0.65119,0.34002,1.71595,1.28451,1.27655,0.000742815,0.000742815,0.000742815
30,1150.29,1.45327,0.91746,1.16015,0.78182,0.62411,0.68318,0.36719,1.61604,1.22987,1.22421,0.000709809,0.000709809,0.000709809
31,1188.13,1.45744,0.89991,1.1739,0.78753,0.64331,0.67068,0.36256,1.60705,1.30022,1.22557,0.000676802,0.000676802,0.000676802
32,1227.17,1.47724,0.91867,1.17536,0.78045,0.56658,0.62171,0.34064,1.66096,1.22513,1.23932,0.000643795,0.000643795,0.000643795
33,1266.4,1.4549,0.90381,1.15607,0.77174,0.61801,0.65615,0.3526,1.67928,1.21872,1.24549,0.000610789,0.000610789,0.000610789
34,1307.32,1.43676,0.87488,1.15245,0.83445,0.65721,0.70519,0.38956,1.58614,1.13044,1.21624,0.000577782,0.000577782,0.000577782
35,1346.13,1.43229,0.88099,1.14984,0.77181,0.64043,0.66288,0.36377,1.62774,1.20338,1.21481,0.000544776,0.000544776,0.000544776
36,1382.96,1.42892,0.84856,1.15159,0.79022,0.67556,0.70463,0.38087,1.607,1.16273,1.21281,0.000511769,0.000511769,0.000511769
37,1420.82,1.40986,0.82263,1.13602,0.83174,0.61891,0.67159,0.36353,1.71079,1.12709,1.28904,0.000478762,0.000478762,0.000478762
38,1459.28,1.43492,0.84068,1.15053,0.78805,0.62663,0.68048,0.37688,1.61779,1.16508,1.23611,0.000445756,0.000445756,0.000445756
39,1498,1.40555,0.80906,1.13336,0.78116,0.62982,0.66962,0.38789,1.59501,1.08177,1.219,0.000412749,0.000412749,0.000412749
40,1536.46,1.37737,0.79799,1.12241,0.80164,0.63554,0.67696,0.38744,1.57492,1.12374,1.21899,0.000379743,0.000379743,0.000379743
41,1576.96,1.36439,0.77437,1.14297,0.82575,0.65721,0.68203,0.38912,1.56347,1.10083,1.2033,0.000346736,0.000346736,0.000346736
42,1613.35,1.33361,0.74141,1.13152,0.77609,0.65809,0.6819,0.37547,1.58598,1.07294,1.19195,0.000313729,0.000313729,0.000313729
43,1652.14,1.33332,0.73111,1.1307,0.79455,0.65262,0.71493,0.40261,1.56557,1.08198,1.20451,0.000280723,0.000280723,0.000280723
44,1689.93,1.3142,0.71696,1.12326,0.83769,0.63163,0.69757,0.40419,1.56722,1.06713,1.20795,0.000247716,0.000247716,0.000247716
45,1727.67,1.30239,0.69899,1.11163,0.81661,0.65986,0.69014,0.39551,1.55372,1.06869,1.18924,0.00021471,0.00021471,0.00021471
46,1764.04,1.29104,0.68341,1.11285,0.77723,0.67384,0.69425,0.39712,1.52521,1.06381,1.17764,0.000181703,0.000181703,0.000181703
47,1801.63,1.27278,0.6815,1.10181,0.83465,0.64807,0.70261,0.40449,1.532,1.06624,1.17596,0.000148696,0.000148696,0.000148696
48,1838.55,1.26393,0.66601,1.0946,0.87968,0.65864,0.71352,0.41134,1.53084,1.01059,1.18733,0.00011569,0.00011569,0.00011569
49,1874.17,1.24852,0.65997,1.09442,0.88894,0.64803,0.71102,0.40866,1.53893,1.06463,1.17871,8.26832e-05,8.26832e-05,8.26832e-05
50,1911.34,1.24847,0.64656,1.09066,0.84365,0.64961,0.70871,0.41065,1.54968,1.02638,1.18718,4.96766e-05,4.96766e-05,4.96766e-05
